1. (Autism-Education) Autism-Education, (relation) undergoes, (Outcome-Measure) Autism-Attitude-Scale-for-Teachers
2. (Autism-Education) Autism-Education, (relation) professional-education, (Intervention) iPad-as-instructional-tool
3. (Autism-Education) Autism-Education, (relation) daily-education, (Guideline-Interest-Guidance) showcasing-special-talents-and-strengths
4. (Autism-Education) Autism-Education, (relation) professional-education, (Intervention) Music-Therapy
5. (Learner-Infant-Toddler) Young-Children-with-Autism, (relation) exhibits, (Symptom-Type-Social-Communication-Deficit) Language-Delay
6. (Autism-Education) Autism-Education, (relation) daily-education, (Guideline-Interest-Guidance) discuss-hobbies
7. (Autism-Education) Autism-Education, (relation) professional-education, (Intervention) Structured-Education
8. (Institution) University-of-Cincinnati-School-Psychology-Program, (relation) affiliated-with, (Educator) Graduate-Students
9. (Intervention) Family-School-Partnerships, (relation) leads-to, (Effect-Other) Enhanced-Family-Functioning
10. (Intervention) Denver-Model, (relation) leads-to, (Effect-Behavioral) Statistically-Significant-Changes-in-Development
11. (Outcome-Measure) Autism-Treatment-Survey, (relation) shows, (Effect-Other) Types-of-Strategies-Used-in-Educational-Practice
12. (Intervention) Computers, (relation) leads-to, (Effect-Other) Positive-Social-Interactions
13. (Learner-Infant-Toddler) Children-with-Autistic-Disorder, (relation) undergoes, (Outcome-Measure) VABS-II
14. (Educator) Parents, (relation) teaches, (Learner-Infant-Toddler) Prototypical-Autistic-Preschool-Children
15. (Symptom-Type-Social-Communication-Deficit) Socio-Communicational-Skills, (relation) determines, (Intervention) Peer-Mediated-Social-Interaction-Interventions
16. (Autism-Education) Autism-Education, (relation) professional-education, (Intervention) Play-Interventions-in-School-Settings
17. (Educator) Government, (relation) faces, (Challenge) Restricted-Resources-in-School-Systems
18. (Instance) 1987-UCLA-Study, (relation) involves, (Learner-School-Aged) 19-Children
19. (Intervention) Discrete-Trial-Training, (relation) listed-in, (Instance) 2002-Odom-and-Strain-Study[N=105]
20. (Intervention) high-quality-ASD-early-interventions, (relation) leads-to, (Effect-Behavioral) positive-outcomes-for-learners
21. (Intervention) Functional-Communication-Training, (relation) references, (Guideline-Positive-Reinforcement) reward-replacement-behavior-with-reinforcing-consequence
